"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_work_from_home","skills"
456608,"Machine Learning Engineer","Quizizz","Bengaluru, Karnataka, India","Full-time","104668.0","2023-01-20","","kafka"
456608,"Machine Learning Engineer","Quizizz","Bengaluru, Karnataka, India","Full-time","104668.0","2023-01-20","","tensorflow"
591307,"HR Data Operations Analyst","Clarivate","India","Full-time","104550.0","2023-11-07","","excel"
591307,"HR Data Operations Analyst","Clarivate","India","Full-time","104550.0","2023-11-07","","word"
591307,"HR Data Operations Analyst","Clarivate","India","Full-time","104550.0","2023-11-07","","powerpoint"
315691,"Financial Data Analyst / Financial Analyst","Conga","Ahmedabad, Gujarat, India","Full-time","104500.0","2023-01-05","","tableau"
315691,"Financial Data Analyst / Financial Analyst","Conga","Ahmedabad, Gujarat, India","Full-time","104500.0","2023-01-05","","alteryx"
315691,"Financial Data Analyst / Financial Analyst","Conga","Ahmedabad, Gujarat, India","Full-time","104500.0","2023-01-05","","zoom"
1431,"Data Analyst","Glean","Bengaluru, Karnataka, India","Full-time","102500.0","2023-03-20","","sql"
1431,"Data Analyst","Glean","Bengaluru, Karnataka, India","Full-time","102500.0","2023-03-20","","c"
1431,"Data Analyst","Glean","Bengaluru, Karnataka, India","Full-time","102500.0","2023-03-20","","bigquery"
1431,"Data Analyst","Glean","Bengaluru, Karnataka, India","Full-time","102500.0","2023-03-20","","github"
1431,"Data Analyst","Glean","Bengaluru, Karnataka, India","Full-time","102500.0","2023-03-20","","slack"
1526060,"IN RBIN Dy. Manager/ Asst Manager Data Analyst  MFC","Bosch Group","Nashik, Maharashtra, India","Full-time","102500.0","2023-03-28","","sql"
1526060,"IN RBIN Dy. Manager/ Asst Manager Data Analyst  MFC","Bosch Group","Nashik, Maharashtra, India","Full-time","102500.0","2023-03-28","","python"
1526060,"IN RBIN Dy. Manager/ Asst Manager Data Analyst  MFC","Bosch Group","Nashik, Maharashtra, India","Full-time","102500.0","2023-03-28","","pandas"
1526060,"IN RBIN Dy. Manager/ Asst Manager Data Analyst  MFC","Bosch Group","Nashik, Maharashtra, India","Full-time","102500.0","2023-03-28","","numpy"
1526060,"IN RBIN Dy. Manager/ Asst Manager Data Analyst  MFC","Bosch Group","Nashik, Maharashtra, India","Full-time","102500.0","2023-03-28","","excel"
1526060,"IN RBIN Dy. Manager/ Asst Manager Data Analyst  MFC","Bosch Group","Nashik, Maharashtra, India","Full-time","102500.0","2023-03-28","","sharepoint"
550388,"Machine Learning Engineer","Fynd","Ahmedabad, Gujarat, India","Full-time","101029.0","2023-07-04","","python"
550388,"Machine Learning Engineer","Fynd","Ahmedabad, Gujarat, India","Full-time","101029.0","2023-07-04","","pandas"
550388,"Machine Learning Engineer","Fynd","Ahmedabad, Gujarat, India","Full-time","101029.0","2023-07-04","","tensorflow"
550388,"Machine Learning Engineer","Fynd","Ahmedabad, Gujarat, India","Full-time","101029.0","2023-07-04","","pytorch"
550388,"Machine Learning Engineer","Fynd","Ahmedabad, Gujarat, India","Full-time","101029.0","2023-07-04","","kubernetes"
